	0.3	0.5	1	2	4	6
-300	0.81	0.857	0.796	0.531	0.255	0.262
-200	0.803	0.842	0.772	0.542	0.294	0.26
-150	0.795	0.824	0.763	0.542	0.336	0.295
-100	0.789	0.823	0.743	0.54	0.37	0.347
-80	0.789	0.817	0.736	0.537	0.381	0.353
-60	0.789	0.815	0.729	0.541	0.395	0.376
-40	0.786	0.813	0.722	0.537	0.403	0.384
-20	0.786	0.812	0.723	0.538	0.407	0.389
-10	0.784	0.811	0.719	0.545	0.409	0.389
0	0.784	0.81	0.721	0.538	0.409	0.39
10	0.783	0.81	0.724	0.538	0.404	0.392
20	0.784	0.81	0.719	0.538	0.404	0.386
40	0.785	0.812	0.727	0.539	0.4	0.388
60	0.789	0.812	0.733	0.539	0.398	0.371
80	0.79	0.816	0.732	0.543	0.385	0.358
100	0.791	0.82	0.745	0.543	0.365	0.35
150	0.798	0.833	0.762	0.542	0.336	0.289
200	0.802	0.842	0.778	0.547	0.298	0.252
300	0.808	0.865	0.786	0.535	0.246	0.25
